home,away,game_id,home_win,season_num,date,reg_season,winner,hpg,hpb,hcg,hcb,apg,apb,acg,acb
Milwaukee Bucks,Brooklyn Nets,22100001,True,69,2021-10-19,True,Milwaukee Bucks,0.7044,0.6251,0.035859375,0.030590625,0.7076,0.6275,0.03619375,0.0305140625
Los Angeles Lakers,Golden State Warriors,22100002,False,69,2021-10-19,True,Golden State Warriors,0.7062,0.6249,0.0357265625,0.0304328125,0.7,0.6205,0.0357046875,0.030353125
San Antonio Spurs,Orlando Magic,22100010,True,69,2021-10-20,True,San Antonio Spurs,0.705,0.6248,0.0359515625,0.030640625,0.7124,0.6343,0.036025,0.0312
New York Knicks,Boston Celtics,22100005,True,69,2021-10-20,True,New York Knicks,0.7061,0.6319,0.0360171875,0.031134375,0.701,0.6343,0.0358375,0.031209375
Portland Trail Blazers,Sacramento Kings,22100013,False,69,2021-10-20,True,Sacramento Kings,0.7035,0.6214,0.035821875,0.030428125,0.7042,0.6223,0.0360046875,0.0304609375
Toronto Raptors,Washington Wizards,22100006,False,69,2021-10-20,True,Washington Wizards,0.7042,0.6301,0.0362078125,0.030540625,0.7043,0.6302,0.0357453125,0.03061875
Phoenix Suns,Denver Nuggets,22100012,False,69,2021-10-20,True,Denver Nuggets,0.7067,0.6293,0.03585625,0.0308734375,0.7116,0.6231,0.03615,0.030565625
Utah Jazz,Oklahoma City Thunder,22100011,True,69,2021-10-20,True,Utah Jazz,0.7061,0.6338,0.0358078125,0.0307484375,0.7036,0.6191,0.0358,0.0303421875
Charlotte Hornets,Indiana Pacers,22100003,True,69,2021-10-20,True,Charlotte Hornets,0.7126,0.6314,0.0365203125,0.0312375,0.7139,0.6254,0.0362265625,0.03040625
Memphis Grizzlies,Cleveland Cavaliers,22100007,True,69,2021-10-20,True,Memphis Grizzlies,0.6963,0.6299,0.035665625,0.0307921875,0.7072,0.633,0.0361125,0.031259375
New Orleans Pelicans,Philadelphia 76ers,22100009,False,69,2021-10-20,True,Philadelphia 76ers,0.6976,0.6163,0.0357078125,0.0299890625,0.7087,0.6378,0.0360515625,0.0314609375
Detroit Pistons,Chicago Bulls,22100004,False,69,2021-10-20,True,Chicago Bulls,0.7129,0.6354,0.0363921875,0.031115625,0.6999,0.6297,0.035621875,0.030740625
Minnesota Timberwolves,Houston Rockets,22100008,True,69,2021-10-20,True,Minnesota Timberwolves,0.7015,0.6247,0.0357234375,0.030421875,0.7114,0.6223,0.0360859375,0.03035
Golden State Warriors,LA Clippers,22100016,True,69,2021-10-21,True,Golden State Warriors,0.7435,0.6671,0.03868125,0.0330765625,0.7043,0.6308,0.035765625,0.0307890625
Miami Heat,Milwaukee Bucks,22100015,True,69,2021-10-21,True,Miami Heat,0.7062,0.6244,0.035825,0.0308765625,0.7429,0.6714,0.0386875,0.0336296875
Atlanta Hawks,Dallas Mavericks,22100014,True,69,2021-10-21,True,Atlanta Hawks,0.7071,0.6407,0.0359234375,0.03141875,0.7018,0.6224,0.0357265625,0.0304765625
Chicago Bulls,New Orleans Pelicans,22100022,True,69,2021-10-22,True,Chicago Bulls,0.7414,0.6746,0.0383234375,0.033934375,0.6695,0.5844,0.03308125,0.028021875
Los Angeles Lakers,Phoenix Suns,22100025,False,69,2021-10-22,True,Phoenix Suns,0.6638,0.5873,0.032909375,0.02801875,0.6682,0.5887,0.0335375,0.0285328125
Denver Nuggets,San Antonio Spurs,22100024,True,69,2021-10-22,True,Denver Nuggets,0.7487,0.6805,0.038996875,0.033915625,0.7502,0.6722,0.0391046875,0.0334046875
