home,away,game_id,home_win,season_num,date,reg_season,winner,hpg,hpb,hcg,hcb,apg,apb,acg,acb
Golden State Warriors,Los Angeles Lakers,22200002,True,70,2022-10-18,True,Golden State Warriors,0.7096,0.6272,0.03615625,0.03071875,0.7037,0.627,0.0358640625,0.030609375
Boston Celtics,Philadelphia 76ers,22200001,True,70,2022-10-18,True,Boston Celtics,0.7124,0.6165,0.0360640625,0.0302671875,0.7015,0.6245,0.0356203125,0.0304828125
Indiana Pacers,Washington Wizards,22200004,False,70,2022-10-19,True,Washington Wizards,0.7086,0.6267,0.036225,0.0305125,0.7029,0.6298,0.0360203125,0.030815625
Memphis Grizzlies,New York Knicks,22200009,True,70,2022-10-19,True,Memphis Grizzlies,0.6963,0.6362,0.035553125,0.0311453125,0.7022,0.6358,0.035553125,0.0313078125
Miami Heat,Chicago Bulls,22200007,False,70,2022-10-19,True,Chicago Bulls,0.7019,0.625,0.0358328125,0.0306046875,0.7114,0.6241,0.03625,0.03054375
Utah Jazz,Denver Nuggets,22200012,True,70,2022-10-19,True,Utah Jazz,0.7085,0.6207,0.0361328125,0.0302734375,0.7107,0.6228,0.0362296875,0.0305875
Toronto Raptors,Cleveland Cavaliers,22200008,True,70,2022-10-19,True,Toronto Raptors,0.7105,0.6306,0.0363171875,0.0309109375,0.7114,0.6303,0.036171875,0.03084375
San Antonio Spurs,Charlotte Hornets,22200011,False,70,2022-10-19,True,Charlotte Hornets,0.7057,0.6256,0.0358375,0.030515625,0.712,0.6368,0.0362390625,0.0312890625
Sacramento Kings,Portland Trail Blazers,22200014,False,70,2022-10-19,True,Portland Trail Blazers,0.7065,0.6253,0.035965625,0.0305625,0.7037,0.6318,0.0359796875,0.03070625
Detroit Pistons,Orlando Magic,22200003,True,70,2022-10-19,True,Detroit Pistons,0.7131,0.6351,0.03645625,0.0312390625,0.7005,0.625,0.0357921875,0.030625
Atlanta Hawks,Houston Rockets,22200005,True,70,2022-10-19,True,Atlanta Hawks,0.6974,0.6277,0.0357296875,0.0307375,0.7029,0.6359,0.0355015625,0.031284375
Phoenix Suns,Dallas Mavericks,22200013,True,70,2022-10-19,True,Phoenix Suns,0.7075,0.6328,0.03604375,0.03081875,0.7052,0.628,0.0360265625,0.0308140625
Minnesota Timberwolves,Oklahoma City Thunder,22200010,True,70,2022-10-19,True,Minnesota Timberwolves,0.7077,0.6234,0.0358359375,0.0304453125,0.7033,0.6333,0.0358671875,0.0311
Brooklyn Nets,New Orleans Pelicans,22200006,False,70,2022-10-19,True,New Orleans Pelicans,0.695,0.6231,0.0354296875,0.0304546875,0.712,0.6388,0.036275,0.0313890625
Philadelphia 76ers,Milwaukee Bucks,22200015,False,70,2022-10-20,True,Milwaukee Bucks,0.6741,0.5868,0.03353125,0.0280203125,0.707,0.6296,0.0360984375,0.030928125
Los Angeles Lakers,LA Clippers,22200016,False,70,2022-10-20,True,LA Clippers,0.6626,0.5885,0.0330390625,0.0281953125,0.7079,0.6269,0.0360265625,0.03065625
Atlanta Hawks,Orlando Magic,22200020,True,70,2022-10-21,True,Atlanta Hawks,0.7515,0.6634,0.038784375,0.0330359375,0.6679,0.5879,0.033253125,0.0282125
Golden State Warriors,Denver Nuggets,22200026,False,70,2022-10-21,True,Denver Nuggets,0.7453,0.6644,0.0384984375,0.033246875,0.6676,0.5865,0.03346875,0.02800625
Brooklyn Nets,Toronto Raptors,22200021,True,70,2022-10-21,True,Brooklyn Nets,0.668,0.5835,0.033265625,0.028025,0.7415,0.6742,0.038371875,0.0334046875
Houston Rockets,Memphis Grizzlies,22200024,False,70,2022-10-21,True,Memphis Grizzlies,0.6685,0.5854,0.03351875,0.0279484375,0.7475,0.6668,0.03875,0.033375
Minnesota Timberwolves,Utah Jazz,22200025,False,70,2022-10-21,True,Utah Jazz,0.7527,0.6832,0.0388859375,0.0340890625,0.7407,0.6588,0.038509375,0.0326859375
Indiana Pacers,San Antonio Spurs,22200018,False,70,2022-10-21,True,San Antonio Spurs,0.6668,0.5893,0.03308125,0.02835,0.667,0.5853,0.0332421875,0.028290625
Portland Trail Blazers,Phoenix Suns,22200027,True,70,2022-10-21,True,Portland Trail Blazers,0.7442,0.6673,0.0387875,0.033153125,0.7457,0.671,0.038515625,0.0335765625
