home,away,game_id,home_win,season_num,date,reg_season,winner,hpg,hpb,hcg,hcb,apg,apb,acg,acb
Los Angeles Lakers,Minnesota Timberwolves,22400062,True,72,2024-10-22,True,Los Angeles Lakers,0.7128,0.6376,0.0366625,0.0312359375,0.7173,0.639,0.0365984375,0.031571875
Boston Celtics,New York Knicks,22400061,True,72,2024-10-22,True,Boston Celtics,0.7216,0.6495,0.0370046875,0.0319109375,0.7348,0.6474,0.0378140625,0.0317125
Philadelphia 76ers,Milwaukee Bucks,22400066,False,72,2024-10-23,True,Milwaukee Bucks,0.7192,0.6415,0.0370515625,0.031653125,0.69,0.5976,0.0344171875,0.0286453125
Portland Trail Blazers,Golden State Warriors,22400072,False,72,2024-10-23,True,Golden State Warriors,0.7165,0.6338,0.0366375,0.031115625,0.7157,0.6399,0.0366640625,0.0314265625
New Orleans Pelicans,Chicago Bulls,22400069,True,72,2024-10-23,True,New Orleans Pelicans,0.7114,0.6449,0.0362984375,0.0318265625,0.7175,0.6535,0.0367640625,0.032203125
Houston Rockets,Charlotte Hornets,22400068,False,72,2024-10-23,True,Charlotte Hornets,0.6844,0.5987,0.0342296875,0.0286625,0.7184,0.6445,0.036809375,0.0317171875
Miami Heat,Orlando Magic,22400065,False,72,2024-10-23,True,Orlando Magic,0.6898,0.6023,0.0344296875,0.0289734375,0.7194,0.6373,0.0369421875,0.031325
LA Clippers,Phoenix Suns,22400071,False,72,2024-10-23,True,Phoenix Suns,0.7193,0.6416,0.0367578125,0.0311,0.7136,0.6423,0.0366453125,0.031671875
Detroit Pistons,Indiana Pacers,22400063,False,72,2024-10-23,True,Indiana Pacers,0.7259,0.6442,0.037309375,0.0319375,0.6485,0.5567,0.0320203125,0.026234375
Atlanta Hawks,Brooklyn Nets,22400064,True,72,2024-10-23,True,Atlanta Hawks,0.6828,0.6019,0.0344015625,0.028890625,0.7231,0.6473,0.0371765625,0.0318609375
Toronto Raptors,Cleveland Cavaliers,22400067,False,72,2024-10-23,True,Cleveland Cavaliers,0.722,0.6417,0.03711875,0.03155,0.721,0.6406,0.0374625,0.03169375
Utah Jazz,Memphis Grizzlies,22400070,False,72,2024-10-23,True,Memphis Grizzlies,0.7174,0.6473,0.036909375,0.03171875,0.7233,0.6327,0.0368640625,0.0312421875
Dallas Mavericks,San Antonio Spurs,22400074,True,72,2024-10-24,True,Dallas Mavericks,0.7155,0.6365,0.0365171875,0.031646875,0.6308,0.5496,0.03083125,0.0258703125
Sacramento Kings,Minnesota Timberwolves,22400076,False,72,2024-10-24,True,Minnesota Timberwolves,0.716,0.625,0.036709375,0.0309140625,0.6792,0.6009,0.03391875,0.02869375
Washington Wizards,Boston Celtics,22400073,False,72,2024-10-24,True,Boston Celtics,0.672,0.5978,0.0338671875,0.0289984375,0.7562,0.6884,0.039621875,0.034675
Denver Nuggets,Oklahoma City Thunder,22400075,False,72,2024-10-24,True,Oklahoma City Thunder,0.7206,0.6481,0.0370171875,0.0319453125,0.6739,0.5951,0.0337984375,0.02874375
Milwaukee Bucks,Chicago Bulls,22400083,False,72,2024-10-25,True,Chicago Bulls,0.728,0.6361,0.03745,0.031278125,0.6853,0.6103,0.0343203125,0.029121875
New York Knicks,Indiana Pacers,22400081,True,72,2024-10-25,True,New York Knicks,0.6786,0.6036,0.0342359375,0.02911875,0.6831,0.6073,0.034384375,0.0292203125
Cleveland Cavaliers,Detroit Pistons,22400080,True,72,2024-10-25,True,Cleveland Cavaliers,0.7568,0.6832,0.0397171875,0.0343890625,0.6932,0.6025,0.03486875,0.0290546875
Los Angeles Lakers,Phoenix Suns,22400085,True,72,2024-10-25,True,Los Angeles Lakers,0.7465,0.6824,0.0389765625,0.0342203125,0.7565,0.6812,0.0392515625,0.0342640625
