home,away,game_id,home_win,season_num,date,reg_season,winner,hpg,hpb,hcg,hcb,apg,apb,acg,acb
Brooklyn Nets,Golden State Warriors,22000001,True,68,2020-12-22,True,Brooklyn Nets,0.708,0.6367,0.0360078125,0.0308,0.7088,0.6268,0.0361796875,0.0310078125
Los Angeles Lakers,LA Clippers,22000002,False,68,2020-12-22,True,LA Clippers,0.7115,0.6265,0.036309375,0.0306328125,0.714,0.6295,0.0365765625,0.030728125
Denver Nuggets,Sacramento Kings,22000019,False,68,2020-12-23,True,Sacramento Kings,0.7123,0.6226,0.0362453125,0.0305015625,0.7034,0.623,0.0360015625,0.0304046875
Indiana Pacers,New York Knicks,22000011,True,68,2020-12-23,True,Indiana Pacers,0.7072,0.6127,0.03604375,0.0299328125,0.7109,0.6307,0.0364421875,0.0306796875
Memphis Grizzlies,San Antonio Spurs,22000017,False,68,2020-12-23,True,San Antonio Spurs,0.7125,0.6224,0.03641875,0.030578125,0.7102,0.6253,0.0362921875,0.0305109375
Philadelphia 76ers,Washington Wizards,22000013,True,68,2020-12-23,True,Philadelphia 76ers,0.7015,0.6143,0.03555,0.029715625,0.6963,0.6155,0.0355453125,0.0300734375
Toronto Raptors,New Orleans Pelicans,22000014,False,68,2020-12-23,True,New Orleans Pelicans,0.7013,0.6244,0.035721875,0.030378125,0.7116,0.6229,0.03628125,0.0307953125
Orlando Magic,Miami Heat,22000012,True,68,2020-12-23,True,Orlando Magic,0.7049,0.6327,0.035746875,0.030859375,0.7006,0.6406,0.03559375,0.03115
Boston Celtics,Milwaukee Bucks,22000003,True,68,2020-12-23,True,Boston Celtics,0.715,0.6261,0.0365515625,0.030503125,0.7093,0.6255,0.036353125,0.030646875
Chicago Bulls,Atlanta Hawks,22000015,False,68,2020-12-23,True,Atlanta Hawks,0.7082,0.6231,0.0360734375,0.03051875,0.7045,0.6306,0.0358109375,0.030765625
Phoenix Suns,Dallas Mavericks,22000004,True,68,2020-12-23,True,Phoenix Suns,0.7078,0.6318,0.036228125,0.0309453125,0.7051,0.6259,0.03579375,0.0308265625
Cleveland Cavaliers,Charlotte Hornets,22000010,True,68,2020-12-23,True,Cleveland Cavaliers,0.7102,0.6133,0.0361296875,0.0300265625,0.7175,0.6223,0.0365875,0.0303015625
Portland Trail Blazers,Utah Jazz,22000020,False,68,2020-12-23,True,Utah Jazz,0.7118,0.623,0.0363375,0.03026875,0.7113,0.6214,0.0361,0.0302359375
Minnesota Timberwolves,Detroit Pistons,22000018,True,68,2020-12-23,True,Minnesota Timberwolves,0.7055,0.6274,0.035965625,0.0308875,0.704,0.6185,0.03581875,0.0304953125
Denver Nuggets,LA Clippers,22000009,False,68,2020-12-25,True,LA Clippers,0.6612,0.5792,0.0326921875,0.0276703125,0.7459,0.6693,0.0387140625,0.03335
Milwaukee Bucks,Golden State Warriors,22000006,True,68,2020-12-25,True,Milwaukee Bucks,0.6672,0.5941,0.033396875,0.02848125,0.6584,0.5853,0.0326046875,0.0280828125
